District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Amherst-Pelham	06050000	ELA	         211	57	          57	15	         154	41	          95	25	          67	18	         373	     500.6	          49.7	         332
Amherst-Pelham	06050000	MATH	         199	54	          43	12	         156	42	         119	32	          53	14	         371	     500.4	          42.3	         332
Andover	00090000	ELA	       1,966	68	         406	14	       1,560	54	         799	28	         113	4	       2,878	     509.4	          53.2	       2,297
Andover	00090000	MATH	       1,833	64	         436	15	       1,397	48	         904	31	         147	5	       2,884	     507.9	          56.7	       2,302
Argosy Collegiate Charter School (District)	35090000	ELA	          80	26	           2	1	          78	25	         161	52	          71	23	         312	     486.5	          39.0	         283
Argosy Collegiate Charter School (District)	35090000	MATH	          98	31	           4	1	          94	30	         160	51	          55	18	         313	     489.0	          44.8	         281
Arlington	00100000	ELA	       1,903	70	         481	18	       1,422	52	         706	26	         110	4	       2,719	     511.2	          53.4	       2,090
Arlington	00100000	MATH	       1,813	66	         313	11	       1,500	55	         787	29	         128	5	       2,728	     507.5	          54.2	       2,096
Ashburnham-Westminster	06100000	ELA	         594	53	          64	6	         530	47	         455	41	          67	6	       1,116	     501.2	          52.5	         899
Ashburnham-Westminster	06100000	MATH	         544	49	          47	4	         497	44	         513	46	          60	5	       1,117	     499.4	          48.7	         901
Ashland	00140000	ELA	         781	63	         173	14	         608	49	         398	32	          66	5	       1,245	     507.2	          55.9	         966
Ashland	00140000	MATH	         752	60	         148	12	         604	49	         415	33	          76	6	       1,243	     505.2	          58.1	         967
Athol-Royalston	06150000	ELA	         242	36	          34	5	         208	31	         307	46	         120	18	         669	     492.4	          54.7	         508
Athol-Royalston	06150000	MATH	         218	33	          17	3	         201	30	         323	48	         128	19	         669	     490.0	          52.0	         505
Atlantis Charter (District)	04910000	ELA	         292	45	          38	6	         254	39	         282	44	          71	11	         645	     497.3	          46.0	         534
Atlantis Charter (District)	04910000	MATH	         261	40	          18	3	         243	38	         322	50	          62	10	         645	     494.9	          39.5	         533
Attleboro	00160000	ELA	       1,446	53	         233	9	       1,213	45	       1,028	38	         245	9	       2,719	     501.8	          50.3	       2,118
Attleboro	00160000	MATH	       1,270	47	         112	4	       1,158	43	       1,145	42	         306	11	       2,721	     497.5	          48.5	       2,115
Auburn	00170000	ELA	         690	58	          98	8	         592	49	         414	35	          94	8	       1,198	     503.2	          43.2	         960
Auburn	00170000	MATH	         618	51	          85	7	         533	44	         491	41	          92	8	       1,201	     500.7	          47.6	         962
Avon	00180000	ELA	         201	57	          29	8	         172	48	         122	34	          32	9	         355	     501.9	          48.4	         283
Avon	00180000	MATH	         147	41	          17	5	         130	36	         163	46	          47	13	         357	     495.5	          48.3	         284
Ayer Shirley School District	06160000	ELA	         370	46	          45	6	         325	40	         371	46	          69	9	         810	     497.8	          46.1	         622
Ayer Shirley School District	06160000	MATH	         313	39	          27	3	         286	36	         402	50	          88	11	         803	     494.8	          50.1	         620
Barnstable	00200000	ELA	       1,064	47	         134	6	         930	41	         933	41	         286	13	       2,283	     498.0	          45.0	       1,784
Barnstable	00200000	MATH	       1,006	44	         114	5	         892	39	         999	44	         280	12	       2,285	     496.7	          46.9	       1,780
Barnstable Community Horace Mann Charter Public (District)	04270000	ELA	          44	64	           3	4	          41	59	          24	35	           1	1	          69	     506.9		
Barnstable Community Horace Mann Charter Public (District)	04270000	MATH	          46	67	           2	3	          44	64	          20	29	           3	4	          69	     506.7		
Baystate Academy Charter Public School (District)	35020000	ELA	          44	19	           1	0	          43	18	         130	55	          62	26	         236	     483.8	          33.3	         227
Baystate Academy Charter Public School (District)	35020000	MATH	          45	19	           2	1	          43	18	         134	57	          57	24	         236	     483.0	          32.3	         226
Bedford	00230000	ELA	         837	70	         235	20	         602	50	         307	26	          55	5	       1,199	     511.0	          55.9	         942
Bedford	00230000	MATH	         811	68	         207	17	         604	50	         319	27	          68	6	       1,198	     509.6	          54.1	         943
Belchertown	00240000	ELA	         505	46	          59	5	         446	40	         508	46	          95	9	       1,108	     498.3	          44.4	         895
Belchertown	00240000	MATH	         418	38	          27	2	         391	35	         569	51	         125	11	       1,112	     494.1	          46.3	         901
Bellingham	00250000	ELA	         481	44	          61	6	         420	38	         505	46	         109	10	       1,095	     497.3	          44.7	         856
Bellingham	00250000	MATH	         452	41	          47	4	         405	37	         526	48	         115	11	       1,093	     496.2	          45.9	         856
Belmont	00260000	ELA	       1,717	78	         542	25	       1,175	53	         413	19	          70	3	       2,200	     515.8	          57.8	       1,686
Belmont	00260000	MATH	       1,706	78	         630	29	       1,076	49	         424	19	          71	3	       2,201	     516.7	          58.8	       1,686
Benjamin Banneker Charter Public (District)	04200000	ELA	         122	68	          40	22	          82	46	          52	29	           6	3	         180	     512.1	          60.1	         131
Benjamin Banneker Charter Public (District)	04200000	MATH	         117	65	          22	12	          95	52	          57	31	           7	4	         181	     506.9	          55.7	         131
Benjamin Franklin Classical Charter Public (District)	04470000	ELA	         219	75	          55	19	         164	56	          66	23	           8	3	         293	     512.5	          45.3	         233
Benjamin Franklin Classical Charter Public (District)	04470000	MATH	         214	73	          55	19	         159	54	          69	24	          10	3	         293	     511.9	          47.2	         232
Bentley Academy Charter School (District)	35110000	ELA	          40	33	           5	4	          35	29	          73	61	           7	6	         120	     495.8	          38.5	          68
Bentley Academy Charter School (District)	35110000	MATH	          37	31	           3	3	          34	29	          66	55	          16	13	         119	     491.1	          43.8	          67
Berkley	00270000	ELA	         330	55	          67	11	         263	44	         230	39	          36	6	         596	     503.2	          51.3	         492
Berkley	00270000	MATH	         300	50	          26	4	         274	46	         262	44	          34	6	         596	     500.2	          47.6	         491
Berkshire Arts and Technology Charter Public (District)	04140000	ELA	          96	48	          20	10	          76	38	          81	41	          21	11	         198	     499.7	          58.4	         172
Berkshire Arts and Technology Charter Public (District)	04140000	MATH	          96	48	          20	10	          76	38	          89	45	          14	7	         199	     501.4	          59.4	         174
Berkshire Hills	06180000	ELA	         230	47	          34	7	         196	40	         204	42	          53	11	         487	     498.4	          47.4	         379
Berkshire Hills	06180000	MATH	         187	38	          12	2	         175	36	         249	51	          51	10	         487	     494.5	          50.5	         378
Berlin (non-op)	00280000	ELA	          50	60	           3	4	          47	57	          27	33	           6	7	          83	     502.9	          42.3	          58
Berlin (non-op)	00280000	MATH	          54	65	           9	11	          45	54	          22	27	           7	8	          83	     501.7	          47.6	          58
Berlin-Boylston	06200000	ELA	         147	53	          23	8	         124	45	         107	39	          21	8	         275	     502.2	          46.0	         263
Berlin-Boylston	06200000	MATH	         149	54	          13	5	         136	49	         118	43	           9	3	         276	     502.3	          52.0	         262
Beverly	00300000	ELA	       1,180	56	         196	9	         984	46	         752	35	         194	9	       2,126	     502.3	          48.9	       1,645
Beverly	00300000	MATH	       1,088	51	         122	6	         966	45	         832	39	         207	10	       2,127	     499.9	          54.3	       1,646
Billerica	00310000	ELA	       1,208	52	         142	6	       1,066	46	         967	41	         156	7	       2,331	     500.8	          49.9	       1,871
Billerica	00310000	MATH	       1,172	50	         162	7	       1,010	43	       1,008	43	         160	7	       2,340	     500.1	          50.3	       1,874
Blackstone-Millville	06220000	ELA	         367	44	          30	4	         337	40	         397	47	          79	9	         843	     497.1	          42.2	         665
Blackstone-Millville	06220000	MATH	         343	41	          20	2	         323	38	         420	50	          76	9	         839	     495.7	          49.3	         660
Boston	00350000	ELA	       7,290	34	       1,057	5	       6,233	29	       9,371	44	       4,702	22	      21,363	     491.1	          49.3	      14,775
Boston	00350000	MATH	       6,777	32	         784	4	       5,993	28	       9,453	44	       5,191	24	      21,421	     488.9	          47.3	      14,805
Boston Collegiate Charter (District)	04490000	ELA	         169	44	          11	3	         158	41	         178	46	          37	10	         384	     496.6	          53.5	         332
Boston Collegiate Charter (District)	04490000	MATH	         164	43	          13	3	         151	39	         195	51	          24	6	         383	     497.7	          58.4	         330
Boston Green Academy Horace Mann Charter School (District)	04110000	ELA	          41	25	           4	2	          37	23	          67	42	          53	33	         161	     483.5	          48.8	         145
Boston Green Academy Horace Mann Charter School (District)	04110000	MATH	          15	9	           0	0	          15	9	          95	59	          51	32	         161	     477.6	          45.5	         147
Boston Preparatory Charter Public (District)	04160000	ELA	          75	38	          13	7	          62	31	          96	48	          28	14	         199	     494.3	          56.9	         160
Boston Preparatory Charter Public (District)	04160000	MATH	          80	41	          10	5	          70	36	          95	48	          22	11	         197	     494.8	          60.6	         158
Boston Renaissance Charter Public (District)	04810000	ELA	         129	32	          10	3	         119	30	         231	58	          37	9	         397	     493.4	          41.1	         281
Boston Renaissance Charter Public (District)	04810000	MATH	         143	36	           9	2	         134	34	         205	52	          48	12	         396	     492.1	          46.8	         280
Bourne	00360000	ELA	         472	48	          45	5	         427	43	         434	44	          79	8	         985	     499.2	          49.7	         772
Bourne	00360000	MATH	         388	39	          19	2	         369	37	         490	49	         117	12	         995	     494.0	          46.9	         780
Boxford	00380000	ELA	         280	71	          37	9	         243	61	         105	26	          12	3	         397	     508.1	          51.7	         282
Boxford	00380000	MATH	         267	67	          33	8	         234	59	         118	30	          13	3	         398	     507.3	          56.3	         284
Boylston (non-op)	00390000	ELA	         107	74	          13	9	          94	65	          36	25	           2	1	         145	     508.5	          48.2	         101
Boylston (non-op)	00390000	MATH	          92	63	          11	8	          81	56	          45	31	           8	6	         145	     504.1	          49.3	         101
Braintree	00400000	ELA	       1,826	65	         338	12	       1,488	53	         850	30	         133	5	       2,809	     507.7	          50.1	       2,231
Braintree	00400000	MATH	       1,664	59	         239	9	       1,425	51	       1,025	37	         114	4	       2,803	     504.8	          51.4	       2,222
Brewster	00410000	ELA	         142	59	           8	3	         134	56	          89	37	           8	3	         239	     503.8	          42.1	         150
Brewster	00410000	MATH	         140	59	          14	6	         126	53	          83	35	          16	7	         239	     503.0	          41.6	         149
Bridge Boston Charter School (District)	04170000	ELA	          60	39	           9	6	          51	33	          73	47	          22	14	         155	     495.7	          50.0	         109
Bridge Boston Charter School (District)	04170000	MATH	          46	30	           4	3	          42	27	          72	46	          37	24	         155	     487.9	          35.9	         109
Bridgewater-Raynham	06250000	ELA	       1,477	57	         216	8	       1,261	49	         948	37	         144	6	       2,569	     503.5	          49.2	       2,068
Bridgewater-Raynham	06250000	MATH	       1,500	58	         178	7	       1,322	51	         931	36	         140	5	       2,571	     503.1	          53.9	       2,075
Brimfield	00430000	ELA	         105	64	          15	9	          90	55	          52	32	           6	4	         163	     505.9	          49.3	         113
Brimfield	00430000	MATH	         112	69	          20	12	          92	56	          44	27	           7	4	         163	     508.0	          62.0	         113
Brockton	00440000	ELA	       2,020	26	         128	2	       1,892	25	       3,780	49	       1,914	25	       7,714	     486.7	          46.5	       5,655
Brockton	00440000	MATH	       1,539	20	          78	1	       1,461	19	       4,139	54	       2,038	26	       7,716	     483.8	          44.5	       5,667
Brooke Charter School (District)	04280000	ELA	         665	63	         128	12	         537	51	         342	32	          52	5	       1,059	     506.6	          52.6	         831
Brooke Charter School (District)	04280000	MATH	         755	71	         136	13	         619	58	         266	25	          38	4	       1,059	     509.3	          58.2	         835
Brookfield	00450000	ELA	          94	57	          14	8	          80	48	          64	39	           8	5	         166	     504.7	          46.5	         116
Brookfield	00450000	MATH	          93	57	          16	10	          77	47	          60	37	          11	7	         164	     504.4	          61.1	         115
Brookline	00460000	ELA	       2,611	75	         795	23	       1,816	52	         735	21	         117	3	       3,463	     514.6	          63.1	       2,607
Brookline	00460000	MATH	       2,512	73	         711	21	       1,801	52	         772	22	         178	5	       3,462	     511.7	          60.4	       2,605
Burlington	00480000	ELA	         811	52	          86	6	         725	47	         607	39	         139	9	       1,557	     500.5	          52.1	       1,232
Burlington	00480000	MATH	         879	56	         145	9	         734	47	         588	38	          99	6	       1,566	     503.2	          58.4	       1,241
Cambridge	00490000	ELA	       1,550	60	         451	17	       1,099	42	         804	31	         233	9	       2,587	     506.9	          55.6	       1,885
Cambridge	00490000	MATH	       1,342	52	         313	12	       1,029	40	         953	37	         300	12	       2,595	     501.4	          52.0	       1,887
Canton	00500000	ELA	       1,036	68	         219	14	         817	53	         417	27	          81	5	       1,534	     508.2	          54.7	       1,247
Canton	00500000	MATH	         968	63	         178	12	         790	51	         474	31	          94	6	       1,536	     506.5	          53.4	       1,247
Cape Cod Lighthouse Charter (District)	04320000	ELA	         167	69	          25	10	         142	59	          62	26	          12	5	         241	     507.4	          52.0	         227
Cape Cod Lighthouse Charter (District)	04320000	MATH	         134	56	          29	12	         105	44	          90	38	          16	7	         240	     502.3	          50.3	         228
Carlisle	00510000	ELA	         338	79	          98	23	         240	56	          81	19	           7	2	         426	     515.4	          55.4	         332
Carlisle	00510000	MATH	         341	80	          88	21	         253	59	          75	18	          10	2	         426	     514.5	          56.9	         332
Carver	00520000	ELA	         317	44	          25	3	         292	40	         356	49	          53	7	         726	     497.6	          44.7	         582
Carver	00520000	MATH	         272	37	           9	1	         263	36	         396	54	          60	8	         728	     495.1	          45.7	         584
Central Berkshire	06350000	ELA	         284	40	          40	6	         244	35	         320	45	         103	15	         707	     494.1	          43.9	         579
Central Berkshire	06350000	MATH	         277	39	          26	4	         251	36	         339	48	          89	13	         705	     494.2	          47.0	         577
Chelmsford	00560000	ELA	       1,544	67	         304	13	       1,240	54	         642	28	         122	5	       2,308	     508.8	          52.0	       1,828
Chelmsford	00560000	MATH	       1,399	61	         315	14	       1,084	47	         770	33	         141	6	       2,310	     506.5	          52.4	       1,826
Chelsea	00570000	ELA	         828	29	          83	3	         745	26	       1,330	47	         686	24	       2,844	     488.0	          50.5	       1,989
Chelsea	00570000	MATH	         809	28	          88	3	         721	25	       1,262	44	         772	27	       2,843	     486.5	          43.5	       1,993
Chesterfield-Goshen	06320000	ELA	          37	55	           8	12	          29	43	          27	40	           3	4	          67	     503.2	          61.3	          47
Chesterfield-Goshen	06320000	MATH	          29	43	           4	6	          25	37	          30	45	           8	12	          67	     497.8	          66.0	          47
Chicopee	00610000	ELA	       1,334	41	         143	4	       1,191	36	       1,461	45	         472	14	       3,267	     495.1	          43.7	       2,458
Chicopee	00610000	MATH	       1,312	40	         106	3	       1,206	37	       1,555	48	         395	12	       3,262	     495.2	          43.9	       2,448
Christa McAuliffe Charter School (District)	04180000	ELA	         207	53	          30	8	         177	46	         160	41	          21	5	         388	     500.9	          48.3	         362
Christa McAuliffe Charter School (District)	04180000	MATH	         199	51	          34	9	         165	43	         168	43	          20	5	         387	     501.1	          53.2	         363
Clarksburg	00630000	ELA	          58	48	           7	6	          51	42	          58	48	           6	5	         122	     499.1	          56.8	         104
Clarksburg	00630000	MATH	          41	34	           2	2	          39	32	          67	55	          14	11	         122	     491.7	          36.1	         104
Clinton	00640000	ELA	         355	40	          22	2	         333	37	         433	49	         102	11	         890	     494.6	          48.3	         697
Clinton	00640000	MATH	         224	25	          10	1	         214	24	         494	55	         175	20	         893	     486.7	          43.3	         699
Codman Academy Charter Public (District)	04380000	ELA	          11	10	           0	0	          11	10	          78	70	          23	21	         112	     482.5	          48.4	          84
Codman Academy Charter Public (District)	04380000	MATH	           3	3	           0	0	           3	3	          70	63	          39	35	         112	     474.7	          45.1	          85
Cohasset	00650000	ELA	         555	73	         112	15	         443	58	         180	24	          23	3	         758	     510.4	          52.0	         618
Cohasset	00650000	MATH	         464	61	          42	6	         422	55	         268	35	          30	4	         762	     503.7	          45.7	         618
Collegiate Charter School of Lowell (District)	35030000	ELA	         151	36	          13	3	         138	33	         226	53	          47	11	         424	     494.2	          41.3	         297
Collegiate Charter School of Lowell (District)	35030000	MATH	         119	28	          12	3	         107	25	         261	61	          48	11	         428	     490.4	          44.4	         297
Community Charter School of Cambridge (District)	04360000	ELA	          83	53	          20	13	          63	40	          57	36	          17	11	         157	     501.2	          46.0	         141
Community Charter School of Cambridge (District)	04360000	MATH	          79	51	           7	4	          72	46	          67	43	          10	6	         156	     499.9	          49.6	         140
Community Day Charter Public School (District)	04400000	ELA	         139	66	          41	19	          98	46	          64	30	           9	4	         212	     509.8	          57.5	         164
Community Day Charter Public School (District)	04400000	MATH	         142	67	          17	8	         125	59	          65	31	           6	3	         213	     506.5	          54.4	         165
Community Day Charter Public School - Gateway (District)	04260000	ELA	         121	78	          38	24	          83	53	          31	20	           4	3	         156	     516.6	          62.4	         114
Community Day Charter Public School - Gateway (District)	04260000	MATH	         116	74	          24	15	          92	59	          34	22	           6	4	         156	     511.0	          59.1	         114
Community Day Charter Public School - R. Kingman Webster (District)	04310000	ELA	         114	75	          34	23	          80	53	          32	21	           5	3	         151	     513.7	          63.4	         109
Community Day Charter Public School - R. Kingman Webster (District)	04310000	MATH	         117	77	          27	18	          90	60	          31	21	           3	2	         151	     512.9	          69.2	         109
Concord	00670000	ELA	       1,105	77	         343	24	         762	53	         295	21	          33	2	       1,433	     515.3	          51.3	       1,141
Concord	00670000	MATH	       1,077	75	         243	17	         834	58	         312	22	          44	3	       1,433	     512.4	          48.8	       1,143
Conservatory Lab Charter (District)	04390000	ELA	          99	41	          16	7	          83	34	         121	50	          24	10	         244	     497.1	          59.3	         186
Conservatory Lab Charter (District)	04390000	MATH	          73	30	           8	3	          65	27	         137	56	          34	14	         244	     490.8	          58.8	         186
Conway	00680000	ELA	          57	76	          14	19	          43	57	          17	23	           1	1	          75	     512.2	          49.6	          54
Conway	00680000	MATH	          54	72	           4	5	          50	67	          21	28	           0	0	          75	     507.8	          44.4	          54
Danvers	00710000	ELA	         786	47	          79	5	         707	43	         718	43	         158	10	       1,662	     498.5	          44.2	       1,307
Danvers	00710000	MATH	         697	42	          56	3	         641	39	         809	49	         157	9	       1,663	     495.8	          44.0	       1,308
Dartmouth	00720000	ELA	       1,028	57	         161	9	         867	48	         659	37	         107	6	       1,794	     503.4	          58.3	       1,450
Dartmouth	00720000	MATH	         907	51	          81	5	         826	46	         773	43	         110	6	       1,790	     500.4	          54.9	       1,441
Dedham	00730000	ELA	         640	50	          76	6	         564	44	         511	40	         135	10	       1,286	     499.4	          41.6	       1,030
Dedham	00730000	MATH	         694	54	          93	7	         601	46	         480	37	         120	9	       1,294	     501.0	          51.6	       1,033
Deerfield	00740000	ELA	         123	54	          27	12	          96	42	          97	43	           8	4	         228	     504.5	          55.8	         166
Deerfield	00740000	MATH	         107	47	           9	4	          98	43	          96	42	          24	11	         227	     497.4	          58.2	         165
Dennis-Yarmouth	06450000	ELA	         523	36	          45	3	         478	33	         744	51	         180	12	       1,447	     493.7	          45.9	       1,090
Dennis-Yarmouth	06450000	MATH	         550	38	          32	2	         518	36	         694	48	         205	14	       1,449	     493.0	          47.8	       1,091
Dighton-Rehoboth	06500000	ELA	         765	54	          91	6	         674	48	         558	39	          91	6	       1,414	     501.9	          50.4	       1,138
Dighton-Rehoboth	06500000	MATH	         692	49	          66	5	         626	44	         641	45	          84	6	       1,417	     499.2	          48.7	       1,140
Douglas	00770000	ELA	         367	61	          64	11	         303	50	         207	34	          32	5	         606	     505.5	          54.3	         504
Douglas	00770000	MATH	         280	46	          23	4	         257	42	         272	45	          53	9	         605	     498.2	          54.6	         503
Dover	00780000	ELA	         215	83	          54	21	         161	62	          44	17	           1	0	         260	     516.9	          68.1	         173
Dover	00780000	MATH	         217	83	          63	24	         154	59	          43	16	           1	0	         261	     516.4	          65.8	         173
Dover-Sherborn	06550000	ELA	         440	82	         132	25	         308	57	          83	15	          13	2	         536	     517.8	          58.1	         502
Dover-Sherborn	06550000	MATH	         405	75	         122	23	         283	53	         120	22	          12	2	         537	     514.1	          51.4	         505
Dracut	00790000	ELA	         923	51	         149	8	         774	43	         738	41	         160	9	       1,821	     501.3	          50.4	       1,424
Dracut	00790000	MATH	         792	44	          84	5	         708	39	         855	47	         172	9	       1,819	     496.8	          50.2	       1,421
Dudley Street Neighborhood Charter School (District)	04070000	ELA	          36	32	           2	2	          34	30	          58	51	          20	18	         114	     491.8	          40.6	          68
Dudley Street Neighborhood Charter School (District)	04070000	MATH	          26	23	           1	1	          25	22	          69	61	          19	17	         114	     486.6	          48.5	          69
Dudley-Charlton Reg	06580000	ELA	       1,007	54	         106	6	         901	48	         744	40	         131	7	       1,882	     501.2	          45.6	       1,496
Dudley-Charlton Reg	06580000	MATH	         898	48	          91	5	         807	43	         840	45	         147	8	       1,885	     499.1	          42.2	       1,497
Duxbury	00820000	ELA	       1,023	72	         201	14	         822	58	         352	25	          48	3	       1,423	     510.0	          57.6	       1,170
Duxbury	00820000	MATH	         939	66	         121	9	         818	58	         432	30	          46	3	       1,417	     507.2	          53.1	       1,162
East Bridgewater	00830000	ELA	         592	56	          88	8	         504	48	         383	36	          83	8	       1,058	     503.0	          49.3	         881
East Bridgewater	00830000	MATH	         520	49	          54	5	         466	44	         456	43	          80	8	       1,056	     499.5	          43.5	         881
East Longmeadow	00870000	ELA	         781	63	          97	8	         684	55	         385	31	          76	6	       1,242	     505.4	          53.5	       1,002
East Longmeadow	00870000	MATH	         659	53	          61	5	         598	48	         510	41	          75	6	       1,244	     500.9	          48.2	       1,002
Eastham	00850000	ELA	          67	77	           9	10	          58	67	          19	22	           1	1	          87	     510.9	          49.1	          60
Eastham	00850000	MATH	          61	69	           7	8	          54	61	          22	25	           5	6	          88	     506.7	          53.7	          60
Easthampton	00860000	ELA	         253	37	          21	3	         232	34	         339	50	          90	13	         682	     494.0	          46.0	         527
Easthampton	00860000	MATH	         248	36	          18	3	         230	34	         333	49	         103	15	         684	     492.2	          45.3	         527
Easton	00880000	ELA	       1,101	63	         181	10	         920	53	         553	32	          84	5	       1,738	     506.4	          55.0	       1,391
Easton	00880000	MATH	       1,144	66	         192	11	         952	55	         519	30	          73	4	       1,736	     506.9	          55.0	       1,389
Edgartown	00890000	ELA	         127	55	          16	7	         111	48	          89	38	          16	7	         232	     501.6	          54.3	         160
Edgartown	00890000	MATH	         109	47	          10	4	          99	43	         104	45	          19	8	         232	     498.9	          64.6	         160
Erving	00910000	ELA	          29	42	           5	7	          24	35	          36	52	           4	6	          69	     497.7	          51.1	          53
Erving	00910000	MATH	          19	28	           2	3	          17	25	          38	55	          12	17	          69	     490.1	          46.3	          51
Everett	00930000	ELA	       1,124	38	          96	3	       1,028	35	       1,341	45	         499	17	       2,964	     493.3	          48.4	       2,144
Everett	00930000	MATH	       1,011	34	          84	3	         927	31	       1,484	50	         472	16	       2,967	     491.9	          47.5	       2,149
Excel Academy Charter (District)	04100000	ELA	         373	55	          64	9	         309	45	         245	36	          64	9	         682	     501.9	          56.7	         609
Excel Academy Charter (District)	04100000	MATH	         323	47	          35	5	         288	42	         302	44	          57	8	         682	     498.7	          51.5	         609
Fairhaven	00940000	ELA	         500	53	          74	8	         426	45	         371	39	          73	8	         944	     501.3	          49.9	         742
Fairhaven	00940000	MATH	         457	48	          54	6	         403	43	         409	43	          78	8	         944	     499.1	          58.3	         740
Fall River	00950000	ELA	       1,662	34	         219	5	       1,443	30	       2,222	46	         982	20	       4,866	     491.4	          46.6	       3,460
Fall River	00950000	MATH	       1,473	30	         165	3	       1,308	27	       2,320	48	       1,073	22	       4,866	     489.0	          43.0	       3,460
Falmouth	00960000	ELA	         972	58	         177	10	         795	47	         593	35	         125	7	       1,690	     504.4	          50.6	       1,338
Falmouth	00960000	MATH	         900	53	         162	10	         738	44	         631	37	         159	9	       1,690	     501.7	          58.0	       1,339
Farmington River Reg	06620000	ELA	          23	45	           1	2	          22	43	          26	51	           2	4	          51	     500.0	          42.6	          38
Farmington River Reg	06620000	MATH	          22	42	           1	2	          21	40	          28	54	           2	4	          52	     498.1	          44.2	          39
Fitchburg	00970000	ELA	         784	32	          89	4	         695	28	       1,145	46	         559	22	       2,488	     489.7	          42.8	       1,773
Fitchburg	00970000	MATH	         618	25	          57	2	         561	23	       1,196	48	         678	27	       2,492	     485.5	          39.0	       1,775
Florida	00980000	ELA	          17	34	           0	0	          17	34	          28	56	           5	10	          50	     494.6	          36.4	          45
Florida	00980000	MATH	          17	34	           0	0	          17	34	          28	56	           5	10	          50	     494.3	          42.1	          44
Four Rivers Charter Public (District)	04130000	ELA	          37	51	           3	4	          34	47	          31	43	           4	6	          72	     502.9	          45.0	          64
Four Rivers Charter Public (District)	04130000	MATH	          41	57	           2	3	          39	54	          28	39	           3	4	          72	     504.0	          58.4	          64
Foxborough	00990000	ELA	         622	51	          70	6	         552	45	         509	42	          86	7	       1,217	     500.5	          48.4	         995
Foxborough	00990000	MATH	         763	63	          91	7	         672	55	         388	32	          67	6	       1,218	     504.9	          59.1	         992
Foxborough Regional Charter (District)	04460000	ELA	         353	45	          43	5	         310	39	         375	48	          57	7	         785	     498.3	          41.5	         609
Foxborough Regional Charter (District)	04460000	MATH	         338	43	          37	5	         301	38	         375	48	          73	9	         786	     496.4	          50.8	         610
Framingham	01000000	ELA	       1,554	38	         230	6	       1,324	32	       1,735	43	         791	19	       4,080	     493.6	          48.2	       2,987
Framingham	01000000	MATH	       1,504	37	         162	4	       1,342	33	       1,780	44	         803	20	       4,087	     492.0	          51.4	       2,987
Francis W. Parker Charter Essential (District)	04780000	ELA	          90	63	           8	6	          82	57	          48	34	           5	3	         143	     505.2	          42.8	         124
